SampleID	Treatment 	forward-absolute-filepath	reverse-absolute-filepath
101	Pic_Clor_60	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/101_S621_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/101_S621_R2_001.fastq.gz
205	Pic_Clor_60	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/205_S630_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/205_S630_R2_001.fastq.gz
302	Pic_Clor_60	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/302_S632_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/302_S632_R2_001.fastq.gz
404	Pic_Clor_60	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/404_S639_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/404_S639_R2_001.fastq.gz
502	Pic_Clor_60	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/502_S642_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/502_S642_R2_001.fastq.gz
102	Untreated_control	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/102_S622_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/102_S622_R2_001.fastq.gz 
203	Untreated_control	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/203_S628_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/203_S628_R2_001.fastq.gz
305	Untreated_control	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/305_S635_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/305_S635_R2_001.fastq.gz
401	Untreated_control	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/401_S636_R1_001.fastq.gz 	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/401_S636_R2_001.fastq.gz 
504	Untreated_control	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/504_S644_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/504_S644_R2_001.fastq.gz
103	Molasses	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/103_S623_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/103_S623_R2_001.fastq.gz
202	Molasses	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/202_S627_R1_001.fastq.gz  	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/202_S627_R2_001.fastq.gz 
304	Molasses	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/304_S634_R1_001.fastq.gz 	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/304_S634_R2_001.fastq.gz 
403	Molasses	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/403_S638_R1_001.fastq.gz 	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/403_S638_R2_001.fastq.gz 
505	Molasses	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/505_S645_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/505_S645_R2_001.fastq.gz
104	Spent_grain	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/104_S624_R1_001.fastq.gz  	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/104_S624_R2_001.fastq.gz 
201	Spent_grain	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/201_S626_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/201_S626_R2_001.fastq.gz
303	Spent_grain	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/303_S633_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/303_S633_R2_001.fastq.gz
405	Spent_grain	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/405_S640_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/405_S640_R2_001.fastq.gz
501	Spent_grain	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/501_S641_R1_001.fastq.gz 	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/501_S641_R2_001.fastq.gz 
105	Sweet_potato	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/105_S625_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/105_S625_R2_001.fastq.gz
204	Sweet_potato	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/204_S629_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/204_S629_R2_001.fastq.gz
301	Sweet_potato	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/301_S631_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/301_S631_R2_001.fastq.gz
402	Sweet_potato	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/402_S637_R1_001.fastq.gz 	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/402_S637_R2_001.fastq.gz
503	Sweet_potato	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/503_S643_R1_001.fastq.gz	/home/muzhinjin/Tika_strawberry/ITS_preplanting2024/503_S643_R2_001.fastq.gz
